controller,n,mean_final_C,std_final_C,ci95_low,ci95_high,mean_final_G,mean_wall_time_s,mean_delta_vs_fixed_tail,mean_pct_vs_fixed_tail,signflip_p_vs_fixed_tail,run_indices,seeds
expert_heuristic,1,96.499907,0.0,96.499907,96.499907,2e-08,67.596,2.783999,2.9707,1.0,0,42
fixed,1,102.280844,0.0,102.280844,102.280844,0.14553141,60.031,8.564936,9.1393,1.0,0,42
fixed_tail,1,93.715908,0.0,93.715908,93.715908,4.72e-06,69.374,0.0,0.0,1.0,0,42
grayness_rule,1,100.249373,0.0,100.249373,100.249373,1e-08,68.361,6.533465,6.9716,1.0,0,42
grayness_rule_restart,1,100.249373,0.0,100.249373,100.249373,1e-08,67.65,6.533465,6.9716,1.0,0,42
llm_agent,1,94.729435,0.0,94.729435,94.729435,1e-08,107.957,1.013527,1.0815,1.0,0,42
llm_agent_no_meta,1,94.121559,0.0,94.121559,94.121559,0.00041174,98.549,0.405651,0.4329,1.0,0,42
llm_agent_no_restart,1,94.729435,0.0,94.729435,94.729435,1e-08,109.326,1.013527,1.0815,1.0,0,42
schedule_only,1,103.392946,0.0,103.392946,103.392946,0.00043508,69.129,9.677038,10.3259,1.0,0,42
tail_only,1,267.366657,0.0,267.366657,267.366657,0.00011114,17.858,173.650749,185.2948,1.0,0,42
three_field_continuation,1,96.713445,0.0,96.713445,96.713445,0.0,69.087,2.997537,3.1985,1.0,0,42
